#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                      accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----            -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
M02696:28:000000000-ATWK5:1:1101:19331:3209 -            341 3_End_Metschnikowia_58S_end_long_eight -             45   1.4e-05   18.5   0.0   1   1   1.8e-06     3e-05   17.5   0.0     1    45    84   128    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:5377:4201  -            341 3_End_Metschnikowia_58S_end_long_eight -             45   1.5e-05   18.5   0.0   1   1   1.8e-06     3e-05   17.5   0.0     1    45    84   128    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:18940:3295 -            341 3_End_Metschnikowia_58S_end_long_eight -             45   1.8e-05   18.2   0.0   1   1   2.8e-06   4.8e-05   16.8   0.0     1    45    84   128    84   128 0.91 -
M02696:28:000000000-ATWK5:1:1101:23025:1814 -            341 3_End_Metschnikowia_58S_end_long_eight -             45   1.8e-05   18.2   0.0   1   1   2.8e-06   4.8e-05   16.8   0.0     1    45    84   128    84   128 0.91 -
M02696:28:000000000-ATWK5:1:1101:10847:2612 -            340 3_End_Metschnikowia_58S_end_long_eight -             45   1.8e-05   18.2   0.0   1   1   2.8e-06   4.8e-05   16.8   0.0     1    45    84   128    84   128 0.91 -
M02696:28:000000000-ATWK5:1:1101:24972:2862 -            346 3_End_Metschnikowia_58S_end_long_eight -             45   0.00011   15.6   0.0   1   2   6.1e-05     0.001   12.5   0.0     1    45    84   128    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:24972:2862 -            346 3_End_Metschnikowia_58S_end_long_eight -             45   0.00011   15.6   0.0   2   2      0.52       8.9   -0.1   0.0     2    13   185   196   185   199 0.88 -
M02696:28:000000000-ATWK5:1:1101:9755:1131  -            346 3_End_Metschnikowia_58S_end_long_eight -             45   0.00011   15.6   0.0   1   2   6.1e-05     0.001   12.5   0.0     1    45    84   128    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:9755:1131  -            346 3_End_Metschnikowia_58S_end_long_eight -             45   0.00011   15.6   0.0   2   2      0.52       8.9   -0.1   0.0     2    13   185   196   185   199 0.88 -
M02696:28:000000000-ATWK5:1:1101:16217:1134 -            347 3_End_Metschnikowia_58S_end_long_eight -             45   0.00012   15.6   0.0   1   2   6.1e-05     0.001   12.5   0.0     1    45    84   128    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:16217:1134 -            347 3_End_Metschnikowia_58S_end_long_eight -             45   0.00012   15.6   0.0   2   2      0.52       8.9   -0.1   0.0     2    13   185   196   185   199 0.88 -
M02696:28:000000000-ATWK5:1:1101:4498:4938  -            433 3_End_Metschnikowia_58S_end_long_fifteen -             45   2.6e-06   20.5   0.0   1   1   1.6e-06   6.6e-06   19.2   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:8628:3301  -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   2.7e-06   20.5   0.0   1   1   1.7e-06   6.7e-06   19.2   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:10427:1489 -            422 3_End_Metschnikowia_58S_end_long_fifteen -             45   5.3e-06   19.5   0.0   1   2   1.9e-05   7.8e-05   15.8   0.0     1    26    72    97    72   106 0.92 -
M02696:28:000000000-ATWK5:1:1101:10427:1489 -            422 3_End_Metschnikowia_58S_end_long_fifteen -             45   5.3e-06   19.5   0.0   2   2       1.3       5.3    0.3   0.0    18    32   330   344   308   347 0.74 -
M02696:28:000000000-ATWK5:1:1101:14772:2804 -            356 3_End_Metschnikowia_58S_end_long_fifteen -             45   2.3e-05   17.5   0.0   1   1   1.2e-05   4.8e-05   16.5   0.0     1    26    72    97    72   106 0.90 -
M02696:28:000000000-ATWK5:1:1101:13793:4071 -            357 3_End_Metschnikowia_58S_end_long_fifteen -             45   2.4e-05   17.5   0.0   1   1   1.2e-05   4.8e-05   16.5   0.0     1    26    72    97    72   106 0.90 -
M02696:28:000000000-ATWK5:1:1101:24972:2862 -            346 3_End_Metschnikowia_58S_end_long_fifteen -             45     3e-05   17.1   0.0   1   1   1.8e-05   7.1e-05   15.9   0.0     1    26    72    97    72    99 0.93 -
M02696:28:000000000-ATWK5:1:1101:16217:1134 -            347 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.1e-05   17.1   0.0   1   1   1.8e-05   7.2e-05   15.9   0.0     1    26    72    97    72    99 0.93 -
M02696:28:000000000-ATWK5:1:1101:9755:1131  -            346 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.1e-05   17.1   0.0   1   1   1.8e-05   7.1e-05   15.9   0.0     1    26    72    97    72    99 0.93 -
M02696:28:000000000-ATWK5:1:1101:5377:4201  -            341 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.1e-05   17.1   0.0   1   1   1.8e-05   7.1e-05   15.9   0.0     1    26    72    97    72    98 0.93 -
M02696:28:000000000-ATWK5:1:1101:19331:3209 -            341 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.3e-05   17.0   0.0   1   1   1.8e-05   7.1e-05   15.9   0.0     1    26    72    97    72    98 0.93 -
M02696:28:000000000-ATWK5:1:1101:17023:4937 -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.3e-05   17.0   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:25893:3588 -            439 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.3e-05   17.0   0.0   1   1   2.2e-05     9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:19573:1370 -            439 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.4e-05   17.0   0.0   1   1   2.2e-05     9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:23424:2640 -            439 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.4e-05   17.0   0.0   1   1   2.2e-05     9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:12698:1563 -            439 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.4e-05   16.9   0.0   1   1   2.2e-05     9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:25791:3730 -            439 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.4e-05   16.9   0.0   1   1   2.2e-05     9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:17655:1939 -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:23252:4876 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:21383:5130 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:18024:2891 -            434 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:22964:1294 -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:20029:4646 -            432 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.8e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:19799:2914 -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:17782:4348 -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:15402:2503 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
